year,make,model,variant,body_type,no_of_seats,build_date,compliance_date,vin,rego_no,rego_state,rego_expiry,no_of_plates,no_of_cylinders,engine_capacity,fuel_type,transmission,odometer_reading,odometer_unit,exterior_colour,interior_colour,key,spare_key,owners_manual,service_history,engine_turns_over,location,url,general_condition,features_list,final_price,final_bids,date_sold,status,bids,price,time_remaining_or_date_sold
2003,Honda,Jazz,VTi-S GD CVT Hatchback,Hatchback,5.0,2003-12,2004-05,JHMGD38704S200560,UZQ748,VIC,01-05-2026 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,4.0,1.5,Petrol,CVT,336335,km,Blue,Black,Yes,No,Yes,No,Yes,VIC,https://www.grays.com/lot/0001-21051059/motor-vehicles-motor-cycles/2003-honda-jazz-vti-s-gd-cvt-hatchback,Dents or marks on body consistent with age and kilometres.,"Air Conditioning, CD Player, Central Locking, Driver Airbag, Electric Windows, Power Steering, Crash Test Star Rating 4, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 1212 (350202)",,,,sold,9.0,"$1,255",2025-06-26
2014,Ford,Focus,Trend LW II Automatic Hatchback,Hatchback,5.0,2014-07,2014-08,MPB1XXMXB1EM77351,1DS6HH,VIC,24-06-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,4.0,2.0,Petrol,Automatic,69937,km,Silver,Grey,Yes,No,No,No,Yes,VIC,https://www.grays.com/lot/0001-21051060/motor-vehicles-motor-cycles/2014-ford-focus-trend-lw-ii-automatic-hatchback,Dents or marks on body consistent with age and kilometres.,"Air Conditioning, Bluetooth Capability, CD Player, Central Locking, Cruise Control, Driver Airbag, Electric Windows, Hill Holder System, MP3 Capability, Park Distance Control Rear, Power Steering, Crash Test Star Rating 5, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 332 (350181)",,,,sold,72.0,"$4,700",2025-06-26
2011,Honda,CR-V,Luxury RE Automatic Wagon,Wagon,5.0,2011-09,2011-10,MRHRE4870BP041120,2CL6QI,VIC,09-12-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,4.0,2.4,Petrol,Automatic,190032,km,Silver,Black,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21051061/motor-vehicles-motor-cycles/2011-honda-cr-v-luxury-re-automatic-wagon,Dents or marks on body consistent with age and kilometres.,"Air Conditioning, Bluetooth Capability, CD Player, Central Locking, Cruise Control, Driver Airbag, Electric Windows, Leather Trim, MP3 Capability, Park Distance Control Rear, Power Steering, Sunroof, Crash Test Star Rating 4, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 1194 (350193)",,,,sold,43.0,"$6,000",2025-06-26
2014,Jeep,Grand,Cherokee Laredo WK Automatic - 8 Speed Wagon,Wagon,5.0,Unable to locate,2014-10,1C4RJEEG9FC600370,ACU315,VIC,09-08-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,6.0,3.6,Petrol,Automatic - 8 Speed,99608,km,Black,Black,Yes,No,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21051062/motor-vehicles-motor-cycles/2014-jeep-grand-cherokee-laredo-wk-automatic-8-speed-wagon,"Dents or marks on body consistent with age and kilometres.
Large Dent on Front bumper right side
Large Dent on Rear drivers side and scrape","Air Conditioning, Bluetooth Capability, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Heated Front Seats, Hill Holder System, MP3 Capability, Power Steering, Reversing Camera, Roof Rail, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 1176 (348774)",,,,sold,110.0,"$9,300",2025-06-26
2012,Holden,Captiva,5 (4x4) CG II Turbo Diesel Automatic Wagon,Wagon,5.0,2012-10,2012-10,KL3DD266JCB079428,ZNR674,VIC,15-07-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,4.0,2.2,Diesel,Automatic,151885,km,Silver,Black,Yes,No,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21051063/motor-vehicles-motor-cycles/2012-holden-captiva-5-4x4-cg-ii-turbo-diesel-automatic-wagon,Dents or marks on body consistent with age and kilometres.,"Air Conditioning, Auto Control, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Hill Holder System, MP3 Capability, Park Distance Control Front, Park Distance Control Rear, Power Steering, Roof Rail, Sunroof, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 404 (350200)",,,,sold,31.0,"$1,909",2025-06-26
2011,Subaru,Outback,2.5i B5A CVT Wagon,Wagon,5.0,2011-12,2012-01,JF2BR9K95CG033797,1EY2IY,VIC,29-09-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,4.0,2.5,Petrol,CVT,239016,km,White,Black,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21051064/motor-vehicles-motor-cycles/2011-subaru-outback-2-5i-b5a-cvt-wagon,"Dents or marks on body consistent with age and kilometres.
Medium Scuff on Various parts of panel","Air Conditioning, Bluetooth Capability, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, MP3 Capability, Power Steering, Reversing Camera, Roof Rail, Crash Test Star Rating 5, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 495 (350190)",,,,sold,49.0,"$2,609",2025-06-26
2015,Audi,A3,1.4 TFSI COD Attract 8V Automatic Sedan,Sedan,5.0,2015-10,2016-01,WAUZZZ8V2G1051728,AHP339,VIC,15-02-2026 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,4.0,1.4,Petrol,Automatic,67001,km,White,Black Leather,Yes,No,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21051065/motor-vehicles-motor-cycles/2015-audi-a3-1-4-tfsi-cod-attract-8v-automatic-sedan,Dents or marks on body consistent with age and kilometres.,"Air Conditioning, Bluetooth Capability, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Hill Holder System, Leather Trim, MP3 Capability, Park Distance Control Front, Park Distance Control Rear, Power Steering, Reversing Camera, Crash Test Star Rating 5, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 524 (350147)",,,,sold,165.0,"$12,900",2025-06-26
2015,Mazda,CX-5,Akera KE Turbo Diesel Automatic Wagon,Wagon,5.0,2015-07,2015-07,JM0KE102200327134,AEV339,VIC,12-08-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,4.0,2.2,Diesel,Automatic,186997,km,Black,Black Leather,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21051066/motor-vehicles-motor-cycles/2015-mazda-cx-5-akera-ke-turbo-diesel-automatic-wagon,"Dents or marks on body consistent with age and kilometres.
Medium Scuff on Various parts of panel","Air Conditioning, Bluetooth Capability, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Heated Front Seats, Hill Holder System, Leather Trim, MP3 Capability, Park Distance Control Front, Park Distance Control Rear, Power Steering, Reversing Camera, Sunroof, Crash Test Star Rating 5, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 618 (350182)",,,,sold,137.0,"$11,100",2025-06-26
2006,Honda,Civic,Sport 8TH GEN Automatic Sedan,Sedan,5.0,2006-08,2006-09,MRHFD26506P041442,UJY679,VIC,28-09-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,4.0,2.0,Petrol,Automatic,"142798 Odometer discrepancy detected, see attached history report",km,Silver,Navy Blue,Yes,No,Yes,No,Yes,VIC,https://www.grays.com/lot/0001-21051068/motor-vehicles-motor-cycles/2006-honda-civic-sport-8th-gen-automatic-sedan,"Dents or marks on body consistent with age and kilometres.
Seat Torn Driver
Large Scuff on Various parts of panel","Air Conditioning, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Leather Trim, MP3 Capability, Power Steering, Crash Test Star Rating 4, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 70 (350176)",,,,sold,55.0,"$3,700",2025-06-26
2009,Mazda,CX-7,Luxury Automatic 5 Seats Wagon,Wagon,5.0,2009-02,2009-02,JM0ER103190114840,2BS4HM,VIC,30-06-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,4.0,2.3,Petrol,Automatic,187753,km,Black,Black Leather,Yes,No,Yes,No,Yes,VIC,https://www.grays.com/lot/0001-21051070/motor-vehicles-motor-cycles/2009-mazda-cx-7-luxury-automatic-5-seats-wagon,Dents or marks on body consistent with age and kilometres.,"Air Conditioning, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Heated Front Seats, Leather Trim, MP3 Capability, Power Steering, Sunroof, Crash Test Star Rating 5, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 1015 (350059)",,,,sold,20.0,"$2,255",2025-06-26
